atomic_task_id,site_id,min_access_margin_db,backhaul_margin_db
B01_M005_G00,E52_214ce9a3b3bd3fa9c582335a,0.3126060525719936,15.138353346483314
B01_M009_G00,E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314
B01_M010_G00,E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314
B01_M016_G00,E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314
B01_M011_G00,E52_060143e4033ea7dfc142ce26,6.23446973686174,13.051384290227645
B01_M006_G00,E52_575c4f100493de938643a13d,8.748145591440831,2.099203328999508
B01_M013_G00,E52_575c4f100493de938643a13d,1.2735129256524829,2.099203328999508
B01_M014_G00,E52_575c4f100493de938643a13d,14.97253526452974,2.099203328999508
B01_M003_G00,E52_47db2d0d55c92154c779a4c9,11.176286595238821,16.45726286038159
B01_M012_G00,E52_47db2d0d55c92154c779a4c9,3.0205906267075733,16.45726286038159
B01_M017_G00,E52_82c821a5773d0bfbe554f10a,3.9055423871373875,11.397135806608844
B01_M018_G00,E52_82c821a5773d0bfbe554f10a,5.523919136465679,11.397135806608844
B01_M019_G00,E52_82c821a5773d0bfbe554f10a,1.9898130596061634,11.397135806608844
B01_M020_G00,E52_82c821a5773d0bfbe554f10a,11.240343925362424,11.397135806608844
B01_M021_G00,E52_82c821a5773d0bfbe554f10a,8.076658413675005,11.397135806608844
B01_M021_G01,E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844
B01_M021_G02,E52_82c821a5773d0bfbe554f10a,5.523919136465679,11.397135806608844
B01_M023_G00,E52_82c821a5773d0bfbe554f10a,8.076615513440018,11.397135806608844
B01_M023_G01,E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844
B01_M023_G02,E52_82c821a5773d0bfbe554f10a,8.076450462346799,11.397135806608844
B01_M022_G00,E52_30110e5b3ae38ecfab28ace2,5.268987734543231,10.05954008012911
