partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K3_001,3,"[0, 0, 0, 0, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""], [""S011""]]",37,9,False,1.0312116121637027,6,5,2,7,6,4,3,4,2,3,0,1,2,0,1,0,2,3,0,1,2,0,1,1
Q4_K3_002,3,"[0, 0, 0, 1, 0, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S006""], [""S011""]]",31,4,False,1.2270292308306405,5,4,2,6,5,4,2,3,1,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0
Q4_K3_005,3,"[0, 0, 0, 1, 2, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S006"", ""S011""], [""S010"", ""S012"", ""S014""]]",38,10,False,0.8769255782882781,7,5,2,7,6,4,3,4,3,3,0,1,2,0,1,0,3,3,0,1,2,0,1,1
Q4_K3_028,3,"[0, 1, 0, 0, 2, 0]","[[""S001"", ""S004"", ""S006"", ""S011""], [""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""]]",41,13,False,0.58000025514272,7,5,3,7,6,5,4,4,3,3,1,1,2,1,2,0,3,3,1,1,2,1,2,1
Q4_K3_030,3,"[0, 1, 0, 0, 2, 2]","[[""S001"", ""S004"", ""S006""], [""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S011"", ""S012"", ""S014""]]",42,14,False,0.5755423276917376,7,5,3,7,7,5,4,4,3,3,1,1,3,1,2,0,3,3,1,1,3,1,2,1
Q4_K3_031,3,"[0, 1, 0, 1, 0, 2]","[[""S001"", ""S004"", ""S010"", ""S012"", ""S014""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S011""]]",38,11,False,0.799574646813936,6,5,3,7,6,5,3,3,2,3,1,1,2,1,1,0,2,3,1,1,2,1,1,0
Q4_K3_032,3,"[0, 1, 0, 1, 1, 2]","[[""S001"", ""S004""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S011""]]",33,5,False,1.082755508926371,4,3,3,6,5,5,3,4,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
Q4_K3_033,3,"[0, 1, 0, 1, 2, 0]","[[""S001"", ""S004"", ""S011""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""]]",40,12,False,0.7189860624089309,6,5,3,7,6,5,4,4,2,3,1,1,2,1,2,0,2,3,1,1,2,1,2,1
Q4_K3_034,3,"[0, 1, 0, 1, 2, 1]","[[""S001"", ""S004""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""]]",38,10,False,0.7642723417763247,6,4,3,7,5,5,4,4,2,2,1,1,1,1,2,0,2,2,1,1,1,1,2,1
Q4_K3_035,3,"[0, 1, 0, 1, 2, 2]","[[""S001"", ""S004""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S011"", ""S012"", ""S014""]]",39,11,False,0.721352414000517,6,4,3,7,6,5,4,4,2,2,1,1,2,1,2,0,2,2,1,1,2,1,2,1
